Date,Actual,Model_0 fitted,Model_0 forecast,SARIMA_Predicted
2019-01-01,57591.136646915824,,,
2019-02-01,58282.00992458475,56351.97615294716,,56351.97615294716
2019-03-01,49956.07668410403,56795.799242173875,,56795.799242173875
2019-04-01,52113.52425489247,55537.65171103973,,55537.65171103973
2019-05-01,48329.367864857355,54481.98199066102,,54481.98199066102
2019-06-01,48567.700107451295,53062.80944653358,,53062.80944653358
2019-07-01,33392.28231218406,51825.59370973962,,51825.59370973962
2019-08-01,39827.1199148088,47780.57196241242,,47780.57196241242
2019-09-01,39687.65750746926,45194.00654662252,,45194.00654662252
2019-10-01,47028.942900028895,43698.65739261209,,43698.65739261209
2019-11-01,47360.07720244749,44135.00264505037,,44135.00264505037
2019-12-01,41200.60017358641,44995.28717804121,,44995.28717804121
2020-01-01,44283.29784738342,70316.87883586311,,70316.87883586311
2020-02-01,45309.29954887416,64910.809367556525,,64910.809367556525
2020-03-01,55644.458236199614,56676.44218244317,,56676.44218244317
2020-04-01,56798.67122478304,56150.25057603514,,56150.25057603514
2020-05-01,52549.472992677984,54760.646443067766,,54760.646443067766
2020-06-01,40126.54764295829,54279.50307603961,,54279.50307603961
2020-07-01,37774.59090326447,46014.9605991897,,46014.9605991897
2020-08-01,38669.839354391755,45915.57379018543,,45915.57379018543
2020-09-01,45082.037061454605,44057.07275639346,,44057.07275639346
2020-10-01,34189.572165927115,46369.98002385194,,46369.98002385194
2020-11-01,39181.56778054597,44181.493780344,,44181.493780344
2020-12-01,44446.71708753039,40184.77639483702,,40184.77639483702
2021-01-01,50661.59295885943,66538.94197838519,,66538.94197838519
2021-02-01,38537.63366757038,64730.84795497322,,64730.84795497322
2021-03-01,57727.52485582909,57496.465694078914,,57496.465694078914
2021-04-01,52111.83410526158,58004.02652998616,,58004.02652998616
2021-05-01,57423.92512125817,53131.55904969695,,53131.55904969695
2021-06-01,33249.68407406143,49329.58604184559,,49329.58604184559
2021-07-01,39085.156611013816,36148.22195749977,,36148.22195749977
2021-08-01,51588.76557657248,40262.04568497679,,40262.04568497679
2021-09-01,34241.099123995395,44595.59031269303,,44595.59031269303
2021-10-01,44231.60927702037,44319.94660577309,,44319.94660577309
2021-11-01,43796.73420278432,45686.950166497954,,45686.950166497954
2021-12-01,42750.17885070904,43261.91131658767,,43261.91131658767
2022-01-01,56780.077309967244,47257.21737535213,,47257.21737535213
2022-02-01,73181.51391908068,45266.67913744187,,45266.67913744187
2022-03-01,61542.11285746695,64035.32634407742,,64035.32634407742
2022-04-01,55593.14544424048,63833.70812854488,,63833.70812854488
2022-05-01,68892.33264814371,61308.931110610705,,61308.931110610705
2022-06-01,50866.37704969413,45623.560857349716,,45623.560857349716
2022-07-01,45973.80816772507,47491.74417892949,,47491.74417892949
2022-08-01,44852.05185474538,52469.1002273256,,52469.1002273256
2022-09-01,45228.69491929514,49100.06212810916,,49100.06212810916
2022-10-01,49859.26019598835,44500.292717669465,,44500.292717669465
2022-11-01,48169.67144163155,48320.68731764051,,48320.68731764051
2022-12-01,38800.48688204936,51633.59348320251,,51633.59348320251
2023-01-01,49356.8447597573,58367.50536029204,,58367.50536029204
2023-02-01,44213.221653869114,54062.10894628131,,54062.10894628131
2023-03-01,60127.600770627476,60255.40864311262,,60255.40864311262
2023-04-01,46715.730120496475,54002.14355062872,,54002.14355062872
2023-05-01,69807.97482160461,60900.799518905216,,60900.799518905216
2023-06-01,43027.330940640495,40034.654804353064,,40034.654804353064
2023-07-01,40797.62348748326,43105.51808938945,,43105.51808938945
2023-08-01,42719.07710389685,50537.845505888225,,50537.845505888225
2023-09-01,40743.00083805223,37959.81876070261,,37959.81876070261
2023-10-01,26551.01906648365,46130.8314052942,,46130.8314052942
2023-11-01,47551.09731265835,42060.44255875467,,42060.44255875467
2023-12-01,42097.87728121692,37967.71687303723,,37967.71687303723
2024-01-01,,,51845.75146035508,51845.75146035508
2024-02-01,,,60851.71756728909,60851.71756728909
2024-03-01,,,58910.00929344399,58910.00929344399
2024-04-01,,,50331.80672380614,50331.80672380614
2024-05-01,,,67082.18553470042,67082.18553470042
2024-06-01,,,45970.92813557194,45970.92813557194
2024-07-01,,,42016.797960350246,42016.797960350246
2024-08-01,,,41967.52205163504,41967.52205163504
2024-09-01,,,41515.02568566991,41515.02568566991
2024-10-01,,,39512.19626826184,39512.19626826184
2024-11-01,,,45818.84289626937,45818.84289626937
2024-12-01,,,37829.71270748469,37829.71270748469
