Date,Product,Units_Sold,Unit_Price,Month,Year,Revenue,Interpolated_Flag
2019-01-01,Alpha,146.0,100.15162946871996,Jan,2019,14622.137902433115,False
2019-02-01,Alpha,144.0,120.19668772577032,Feb,2019,17308.323032510925,False
2019-03-01,Alpha,129.0,59.3981939840869,Mar,2019,7662.36702394721,False
2019-04-01,Alpha,136.0,96.55980181324604,Apr,2019,13132.13304660146,False
2019-05-01,Alpha,129.0,109.08332605690109,May,2019,14071.74906134024,False
2019-06-01,Alpha,86.0,132.26005606596584,Jun,2019,11374.364821673062,False
2019-07-01,Alpha,108.0,102.22432600548044,Jul,2019,11040.227208591887,False
2019-08-01,Alpha,98.0,112.28904758190004,Aug,2019,11004.326663026204,True
2019-09-01,Alpha,88.0,103.1354631568148,Sep,2019,9075.920757799702,False
2019-10-01,Alpha,108.0,122.60913337226616,Oct,2019,13241.786404204746,False
2019-11-01,Alpha,107.0,77.08322512620742,Nov,2019,8247.905088504194,False
2019-12-01,Alpha,118.0,52.53507434154575,Dec,2019,6199.138772302399,False
2020-01-01,Alpha,134.0,67.32943200708458,Jan,2020,9022.143888949333,False
2020-02-01,Alpha,120.0,104.92266647061206,Feb,2020,12590.719976473447,False
2020-03-01,Alpha,142.0,77.99338969459428,Mar,2020,11075.061336632389,False
2020-04-01,Alpha,160.0,105.43540525114008,Apr,2020,16869.664840182413,False
2020-05-01,Alpha,131.0,74.77309895011575,May,2020,9795.275962465164,False
2020-06-01,Alpha,114.5,51.43934886297559,Jun,2020,5889.805444810705,True
2020-07-01,Alpha,98.0,54.07288023189702,Jul,2020,5299.142262725908,False
2020-08-01,Alpha,120.0,97.41738290873252,Aug,2020,11690.085949047902,False
2020-09-01,Alpha,89.0,97.34717707805656,Sep,2020,8663.898759947035,False
2020-10-01,Alpha,96.0,89.85047343973734,Oct,2020,8625.645450214784,False
2020-11-01,Alpha,116.0,54.53040097720445,Nov,2020,6325.526513355716,False
2020-12-01,Alpha,116.0,100.31362585800878,Dec,2020,11636.380599529019,False
2021-01-01,Alpha,141.0,66.29344270814298,Jan,2021,9347.375421848159,False
2021-02-01,Alpha,112.0,52.65113105416218,Feb,2021,5896.926678066164,False
2021-03-01,Alpha,138.0,107.5474177875879,Mar,2021,14841.543654687131,False
2021-04-01,Alpha,129.0,95.82528904915166,Apr,2021,12361.462287340564,False
2021-05-01,Alpha,129.0,88.61026378007742,May,2021,11430.724027629987,False
2021-06-01,Alpha,109.0,60.07780013774266,Jun,2021,6548.48021501395,False
2021-07-01,Alpha,118.0,81.89756302937613,Jul,2021,9663.912437466382,False
2021-08-01,Alpha,119.0,131.44684825889357,Aug,2021,15642.174942808335,False
2021-09-01,Alpha,98.0,119.67371653641509,Sep,2021,11728.024220568679,False
2021-10-01,Alpha,111.0,123.50710438038858,Oct,2021,13709.288586223132,False
2021-11-01,Alpha,123.0,67.74395437797229,Nov,2021,8332.506388490592,False
2021-12-01,Alpha,128.0,149.0505142000673,Dec,2021,19078.465817608616,False
2022-01-01,Alpha,125.0,127.64129607419969,Jan,2022,15955.162009274962,False
2022-02-01,Alpha,127.0,135.8412751843012,Feb,2022,17251.84194840625,False
2022-03-01,Alpha,133.0,125.45428740846825,Mar,2022,16685.420225326277,False
2022-04-01,Alpha,116.0,100.52523724478571,Apr,2022,11660.927520395142,False
2022-05-01,Alpha,140.0,139.55232284962003,May,2022,19537.325198946804,False
2022-06-01,Alpha,116.0,140.53819764192636,Jun,2022,16302.430926463458,False
2022-07-01,Alpha,95.0,145.0061967050805,Jul,2022,13775.588686982648,False
2022-08-01,Alpha,130.0,113.18372121697992,Aug,2022,14713.88375820739,False
2022-09-01,Alpha,103.0,82.8664545369916,Sep,2022,8535.244817310135,False
2022-10-01,Alpha,112.0,129.15790437258485,Oct,2022,14465.685289729503,False
2022-11-01,Alpha,122.0,99.44203047025816,Nov,2022,12131.927717371496,False
2022-12-01,Alpha,97.0,94.1530501373377,Dec,2022,9132.845863321758,False
2023-01-01,Alpha,144.0,61.706701642760585,Jan,2023,8885.765036557525,False
2023-02-01,Alpha,119.0,111.8218063316261,Feb,2023,13306.794953463506,False
2023-03-01,Alpha,117.0,120.096913145912,Mar,2023,14051.338838071704,False
2023-04-01,Alpha,112.0,120.62422271564962,Apr,2023,13509.912944152758,False
2023-05-01,Alpha,108.0,148.66395785011753,May,2023,16055.707447812692,False
2023-06-01,Alpha,116.0,131.27995672575025,Jun,2023,15228.47498018703,False
2023-07-01,Alpha,121.0,58.35007166986688,Jul,2023,7060.358672053892,False
2023-08-01,Alpha,116.0,92.42220092469762,Aug,2023,10720.975307264924,False
2023-09-01,Alpha,121.0,99.26251042908592,Sep,2023,12010.763761919396,False
2023-10-01,Alpha,85.0,61.752624677710486,Oct,2023,5248.973097605392,False
2023-11-01,Alpha,117.0,108.33687650971596,Nov,2023,12675.414551636768,False
2023-12-01,Alpha,149.0,78.57120862818607,Dec,2023,11707.110085599725,False
2019-01-01,Beta,142.0,146.32225394406112,Jan,2019,20777.76006005668,False
2019-02-01,Beta,112.0,146.9302535619099,Feb,2019,16456.188398933908,False
2019-03-01,Beta,136.0,119.57486889846172,Mar,2019,16262.182170190794,False
2019-04-01,Beta,131.0,108.43143119231,Apr,2019,14204.51748619261,False
2019-05-01,Beta,145.0,78.09631895922303,May,2019,11323.966249087338,False
2019-06-01,Beta,119.0,77.73811829811326,Jun,2019,9250.836077475478,False
2019-07-01,Beta,102.0,85.33522280260527,Jul,2019,8704.192725865738,False
2019-08-01,Beta,109.0,147.43948076661667,Aug,2019,16070.903403561217,False
2019-09-01,Beta,106.0,131.37950197069486,Sep,2019,13926.227208893655,False
2019-10-01,Beta,113.0,141.09271844938425,Oct,2019,15943.47718478042,False
2019-11-01,Beta,120.0,91.82430362906187,Nov,2019,11018.916435487425,False
2019-12-01,Beta,141.0,54.52186701061894,Dec,2019,7687.583248497271,False
2020-01-01,Beta,114.0,88.08908566310215,Jan,2020,10042.155765593645,False
2020-02-01,Beta,146.0,91.48195023376653,Feb,2020,13356.364734129913,False
2020-03-01,Beta,127.0,136.47223762550533,Mar,2020,17331.974178439177,False
