Revenue,Company_Density,Product_Density
4633.483394089613,4.4644892239696884e-12,2.0739661215155887e-05
5818.43256609046,6.159959449820196e-12,4.456508369573579e-05
7003.381738091306,8.464240084059906e-12,6.791023995389351e-05
8188.3309100921515,1.1582624035845356e-11,8.288634448694517e-05
9373.280082092999,1.5784825814316942e-11,8.349797029728035e-05
10558.229254093843,2.1423559054799273e-11,8.06466262671527e-05
11743.17842609469,2.8957945814659517e-11,8.214677233940114e-05
12928.127598095536,3.898285656156013e-11,8.028011128041382e-05
14113.076770096382,5.226548554948292e-11,7.75878003254998e-05
15298.025942097229,6.979069899968329e-11,7.000652423182487e-05
16482.975114098073,9.28169537498182e-11,5.593166056213969e-05
17667.92428609892,1.2294487151187303e-10,3.9588543430090486e-05
18852.873458099766,1.6220086717533218e-10,2.5275249588825005e-05
20037.822630100614,2.1313856589756714e-10,1.474725869535279e-05
21222.77180210146,2.7896109853970333e-10,7.27286853157274e-06
22407.720974102307,3.636677318403363e-10,2.941786759302471e-06
23592.67014610315,4.722286597823093e-10,8.773398485813219e-07
24777.619318103996,6.107921445286196e-10,1.5192421422976363e-07
25962.568490104844,7.869285348775397e-10,1.2772666008945681e-08
27147.51766210569,1.0099159901770523e-09,4.807124828207592e-10
28332.466834106537,1.2910729776521998e-09,7.850390424830225e-12
29517.41600610738,1.644142767566597e-09,5.498560280557788e-14
30702.36517810823,2.0857351969190653e-09,1.6446255272906398e-16
31887.314350109074,2.6358308790100193e-09,2.097151185402084e-19
33072.26352210992,3.318352771360398e-09,1.1393679910606505e-22
34257.21269411077,4.161809544544174e-09,2.6367253773727593e-26
35442.16186611161,5.200014485030576e-09,2.5989136357968482e-30
36627.11103811246,6.4728826818577075e-09,1.0910109938737164e-34
37812.060210113304,8.027307957151422e-09,1.950610730379267e-39
38997.00938211415,9.918119374566286e-09,1.4852990380522392e-44
40181.958554115,1.2209115173001846e-08,4.816793867647213e-50
41366.907726115845,1.4974169607749478e-08,6.652773304598578e-56
42551.85689811669,1.8298405429021688e-08,3.913341474957835e-62
43736.806070117535,2.227942159155284e-08,9.803768923843595e-69
44921.75524211838,2.7028562285413657e-08,1.0460168104650244e-75
46106.70441411923,3.2672209540273176e-08,4.753182944648087e-83
47291.653586120075,3.935307753429366e-08,9.198789076357441e-91
48476.60275812092,4.723148240606793e-08,7.581882589066894e-99
49661.551930121765,5.6486556916547716e-08,2.6614830916064177e-107
50846.50110212262,6.731737485332757e-08,3.978969687217873e-116
52031.45027412346,7.994394575013734e-08,2.5334819363886966e-125
53216.399446124306,9.46080364700237e-08,6.870134760983001e-135
54401.34861812515,1.1157377265151221e-07,7.934379379694501e-145
55586.297790125995,1.3112797014003957e-07,3.9026619203073556e-155
56771.24696212685,1.5358014453163573e-07,8.175402844006337e-166
57956.19613412769,1.7926214605848512e-07,7.293863894921876e-177
59141.145306128536,2.0852736746238417e-07,2.771445933441341e-188
60326.09447812938,2.4174947443903115e-07,4.484927516204165e-200
61511.043650130225,2.793206118815664e-07,3.091040595241953e-212
62695.99282213108,3.2164904466444165e-07,9.073069787467461e-225
63880.94199413192,3.691561992063917e-07,1.1342376423553652e-237
65065.891166132766,4.222730815997733e-07,6.038848349475374e-251
66250.84033813361,4.814360596952705e-07,1.369318428864265e-264
67435.78951013446,5.470820101152145e-07,1.3223762633018999e-278
68620.7386821353,6.196428465831897e-07,5.438835195699801e-293
69805.68785413615,6.995394629623063e-07,9.52701866057882e-308
70990.637026137,7.871751426592453e-07,7e-323
72175.58619813784,8.829285051562682e-07,0.0
73360.53537013868,9.871460798746138e-07,0.0
74545.48454213954,1.1001346167711577e-06,0.0
75730.43371414038,1.2221532613867661e-06,0.0
76915.38288614122,1.3534057388185024e-06,0.0
78100.33205814208,1.4940327055795175e-06,0.0
79285.28123014292,1.644104439849265e-06,0.0
80470.23040214376,1.803614048548278e-06,0.0
81655.17957414463,1.972471373409541e-06,0.0
82840.12874614546,2.150497777273133e-06,0.0
84025.0779181463,2.3374219858381966e-06,0.0
85210.02709014714,2.5328771488524997e-06,0.0
86394.976262148,2.7363992681617592e-06,0.0
87579.92543414884,2.947427118317698e-06,0.0
88764.87460614968,3.165303758885616e-06,0.0
89949.82377815054,3.3892797067155105e-06,0.0
91134.77295015138,3.6185178019393623e-06,0.0
92319.72212215222,3.8520997641822895e-06,0.0
93504.67129415309,4.0890343964087645e-06,0.0
94689.62046615392,4.3282673540467525e-06,0.0
95874.56963815476,4.568692357681442e-06,0.0
97059.51881015563,4.809163689841612e-06,0.0
98244.46798215646,5.0485097813476145e-06,0.0
99429.4171541573,5.285547661414485e-06,0.0
100614.36632615814,5.519098019164681e-06,0.0
101799.315498159,5.748000603223649e-06,0.0
102984.26467015984,5.9711296712995795e-06,0.0
104169.21384216068,6.187409193553996e-06,0.0
105354.16301416155,6.39582751242142e-06,0.0
106539.11218616238,6.595451167402485e-06,0.0
107724.06135816322,6.7854376061059025e-06,0.0
108909.01053016409,6.965046522137644e-06,0.0
110093.95970216492,7.133649585846778e-06,0.0
111278.90887416576,7.290738364808102e-06,0.0
112463.8580461666,7.43593026649982e-06,0.0
113648.80721816747,7.568972375072618e-06,0.0
114833.7563901683,7.689743096485275e-06,0.0
116018.70556216914,7.798251570638526e-06,0.0
117203.65473417,7.894634854486617e-06,0.0
118388.60390617084,7.979152925458396e-06,0.0
119573.55307817168,8.052181598907692e-06,0.0
120758.50225017255,8.114203495801e-06,0.0
121943.45142217338,8.165797236553743e-06,0.0
123128.40059417422,8.207625073019999e-06,0.0
124313.34976617509,8.240419202375407e-06,0.0
125498.29893817593,8.264967033345088e-06,0.0
126683.24811017676,8.282095696350671e-06,0.0
127868.1972821776,8.292656104224e-06,0.0
129053.14645417847,8.297506878818898e-06,0.0
130238.0956261793,8.29749846093261e-06,0.0
131423.04479818014,8.293457716347568e-06,0.0
132607.993970181,8.286173339584748e-06,0.0
133792.94314218184,8.276382339329473e-06,0.0
134977.89231418268,8.264757865800436e-06,0.0
136162.84148618355,8.251898611072824e-06,0.0
137347.79065818439,8.238319979159795e-06,0.0
138532.73983018522,8.224447184241014e-06,0.0
139717.6890021861,8.210610393646548e-06,0.0
140902.63817418693,8.197041987981407e-06,0.0
142087.58734618776,8.1838759650943e-06,0.0
143272.53651818863,8.171149468472616e-06,0.0
144457.48569018947,8.158806375112368e-06,0.0
145642.4348621903,8.14670283398203e-06,0.0
146827.38403419117,8.13461460484888e-06,0.0
148012.333206192,8.122246009382026e-06,0.0
149197.28237819285,8.109240272925066e-06,0.0
150382.23155019368,8.095191006883813e-06,0.0
151567.18072219455,8.079654558930903e-06,0.0
152752.1298941954,8.06216294169778e-06,0.0
153937.07906619622,8.042237040681336e-06,0.0
155122.0282381971,8.019399798975849e-06,0.0
156306.97741019793,7.99318908024311e-06,0.0
157491.92658219876,7.963169922000322e-06,0.0
158676.87575419963,7.92894590862909e-06,0.0
159861.82492620047,7.890169417132281e-06,0.0
161046.7740982013,7.84655051807863e-06,0.0
162231.72327020217,7.797864348721516e-06,0.0
163416.672442203,7.74395681416187e-06,0.0
164601.62161420385,7.684748514718003e-06,0.0
165786.57078620468,7.620236842327537e-06,0.0
166971.51995820555,7.5504962347016995e-06,0.0
168156.4691302064,7.475676621877391e-06,0.0
169341.41830220722,7.396000144524741e-06,0.0
170526.3674742081,7.311756265624508e-06,0.0
