Date,Actual,SARIMA_FC,Lower_95,Upper_95,Lower_80,Upper_80
2019-01-01,57591.136646915824,,,,,
2019-02-01,58282.00992458475,,,,,
2019-03-01,49956.07668410403,,,,,
2019-04-01,52113.52425489247,,,,,
2019-05-01,48329.367864857355,,,,,
2019-06-01,48567.700107451295,,,,,
2019-07-01,33392.28231218406,,,,,
2019-08-01,39827.1199148088,,,,,
2019-09-01,39687.65750746926,,,,,
2019-10-01,47028.942900028895,,,,,
2019-11-01,47360.07720244749,,,,,
2019-12-01,41200.60017358641,,,,,
2020-01-01,44283.29784738342,,,,,
2020-02-01,45309.29954887416,,,,,
2020-03-01,55644.458236199614,,,,,
2020-04-01,56798.67122478304,,,,,
2020-05-01,52549.472992677984,,,,,
2020-06-01,40126.54764295829,,,,,
2020-07-01,37774.59090326447,,,,,
2020-08-01,38669.839354391755,,,,,
2020-09-01,45082.037061454605,,,,,
2020-10-01,34189.572165927115,,,,,
2020-11-01,39181.56778054597,,,,,
2020-12-01,44446.71708753039,,,,,
2021-01-01,50661.59295885943,,,,,
2021-02-01,38537.63366757038,,,,,
2021-03-01,57727.52485582909,,,,,
2021-04-01,52111.83410526158,,,,,
2021-05-01,57423.92512125817,,,,,
2021-06-01,33249.68407406143,,,,,
2021-07-01,39085.156611013816,,,,,
2021-08-01,51588.76557657248,,,,,
2021-09-01,34241.099123995395,,,,,
2021-10-01,44231.60927702037,,,,,
2021-11-01,43796.73420278432,,,,,
2021-12-01,42750.17885070904,,,,,
2022-01-01,56780.077309967244,,,,,
2022-02-01,73181.51391908068,,,,,
2022-03-01,61542.11285746695,,,,,
2022-04-01,55593.14544424048,,,,,
2022-05-01,68892.33264814371,,,,,
2022-06-01,50866.37704969413,,,,,
2022-07-01,45973.80816772507,,,,,
2022-08-01,44852.05185474538,,,,,
2022-09-01,45228.69491929514,,,,,
2022-10-01,49859.26019598835,,,,,
2022-11-01,48169.67144163155,,,,,
2022-12-01,38800.48688204936,,,,,
2023-01-01,49356.8447597573,,,,,
2023-02-01,44213.221653869114,,,,,
2023-03-01,60127.600770627476,,,,,
2023-04-01,46715.730120496475,,,,,
2023-05-01,69807.97482160461,,,,,
2023-06-01,43027.330940640495,,,,,
2023-07-01,40797.62348748326,,,,,
2023-08-01,42719.07710389685,,,,,
2023-09-01,40743.00083805223,,,,,
2023-10-01,26551.01906648365,,,,,
2023-11-01,47551.09731265835,,,,,
2023-12-01,42097.87728121692,,,,,
2024-01-01,,51845.75146035508,32769.57070407299,70921.93221663717,39372.50730604369,64318.99561466647
2024-02-01,,60851.71756728909,41495.29079745152,80208.14433712667,48195.230394104605,73508.20474047358
2024-03-01,,58910.00929344399,39081.41706652301,78738.60152036496,45944.789722371424,71875.22886451655
2024-04-01,,50331.80672380614,30055.88326476922,70607.73018284306,37074.09298174007,63589.520465872214
2024-05-01,,67082.18553470042,46367.72011559901,87796.65095380181,53537.72461773177,80626.64645166906
2024-06-01,,45970.92813557194,24827.06949977747,67114.78677136642,32145.702085453995,59796.15418568989
2024-07-01,,42016.797960350246,20452.09094867239,63581.5049720281,27916.393948175602,56117.20197252489
2024-08-01,,41967.52205163504,19990.02425727529,63945.019845994786,27597.208654409882,56337.83544886019
2024-09-01,,41515.02568566991,19132.348662400585,63897.702708939236,26879.779830893975,56150.27154044585
2024-10-01,,39512.19626826184,16731.545440980248,62292.84709554343,24616.729330037087,54407.66320648659
2024-11-01,,45818.84289626937,22647.05242803693,68990.63336450182,30667.623493631483,60970.06229890726
2024-12-01,,37829.71270748469,14273.27632817124,61386.149086798134,22426.98686217006,53232.438552799314
