Date,Month,Product,Base_Predicted,Final_Forecast
2024-01-01,1,Beta,11665.259,11650.266
2024-02-01,2,Beta,12140.188,12125.195
2024-03-01,3,Beta,12073.082,12058.089
2024-04-01,4,Beta,11681.029,11666.036
2024-05-01,5,Beta,11884.634,11877.172
2024-06-01,6,Beta,11874.925,11867.463
2024-07-01,7,Beta,11399.285,11391.823
2024-08-01,8,Beta,11954.987,11947.525
2024-09-01,9,Beta,11881.282,11873.82
2024-10-01,10,Beta,12004.378,11996.916
2024-11-01,11,Beta,11827.277,11819.815
2024-12-01,12,Beta,11786.554,11779.092
2024-01-01,1,Gamma,11688.361,11673.368
2024-02-01,2,Gamma,11951.427,11936.434
2024-03-01,3,Gamma,11897.62,11882.627
2024-04-01,4,Gamma,11761.84,11746.847
2024-05-01,5,Gamma,11790.989,11783.527
2024-06-01,6,Gamma,11819.447,11811.985
2024-07-01,7,Gamma,11520.786,11513.324
2024-08-01,8,Gamma,11867.252,11859.79
2024-09-01,9,Gamma,11783.251,11775.789
2024-10-01,10,Gamma,11923.826,11916.364
2024-11-01,11,Gamma,11716.471,11709.009
2024-12-01,12,Gamma,11653.302,11645.84
2024-01-01,1,Delta,11789.468,11774.475
2024-02-01,2,Delta,11987.63,11972.637
2024-03-01,3,Delta,11927.026,11912.033
2024-04-01,4,Delta,11868.035,11853.042
2024-05-01,5,Delta,11762.914,11755.452
2024-06-01,6,Delta,11768.606,11761.145
2024-07-01,7,Delta,11595.837,11588.375
2024-08-01,8,Delta,11811.546,11804.084
2024-09-01,9,Delta,11733.448,11725.986
2024-10-01,10,Delta,11829.289,11821.827
2024-11-01,11,Delta,11800.97,11793.508
2024-12-01,12,Delta,11766.985,11759.523
2024-01-01,1,Alpha,11710.211,11695.218
2024-02-01,2,Alpha,11980.317,11965.324
2024-03-01,3,Alpha,11922.019,11907.025
2024-04-01,4,Alpha,11787.863,11772.87
2024-05-01,5,Alpha,11729.342,11721.88
2024-06-01,6,Alpha,11721.739,11714.277
2024-07-01,7,Alpha,11480.233,11472.771
2024-08-01,8,Alpha,11783.345,11775.883
2024-09-01,9,Alpha,11703.051,11695.589
2024-10-01,10,Alpha,11823.251,11815.789
2024-11-01,11,Alpha,11600.599,11593.137
2024-12-01,12,Alpha,11569.6,11562.138
